,Estimated Coefficient,Weights,Score
0,29.017758393287348,-0.003949405564967829,0.06258440390088837
1,29.017758393287348,-0.007402399703969763,0.06258440390088837
2,29.017758393287348,-0.0009416563811902908,0.06258440390088837
3,29.017758393287348,0.000636769882524341,0.06258440390088837
4,29.017758393287348,-0.0018671969461414254,0.06258440390088837
5,29.017758393287348,0.0095466762308843,0.06258440390088837
6,29.017758393287348,-0.0007861404249394268,0.06258440390088837
7,29.017758393287348,-0.004046846032349666,0.06258440390088837
8,29.017758393287348,0.007093980505367218,0.06258440390088837
9,29.017758393287348,0.006908711079652575,0.06258440390088837
10,29.017758393287348,0.0005414869755824159,0.06258440390088837
11,29.017758393287348,0.15512253744529986,0.06258440390088837
12,29.017758393287348,-0.18171340935905966,0.06258440390088837
13,29.017758393287348,0.016562289760270205,0.06258440390088837
