,test,predict,difference,amountWrong,percentWrong
0,2,1.0,1.0,5567,8.4150857833875
1,1,1.0,0.0,5567,8.4150857833875
2,1,1.0,0.0,5567,8.4150857833875
3,1,1.0,0.0,5567,8.4150857833875
4,1,1.0,0.0,5567,8.4150857833875
5,1,1.0,0.0,5567,8.4150857833875
6,1,1.0,0.0,5567,8.4150857833875
7,1,1.0,0.0,5567,8.4150857833875
8,1,1.0,0.0,5567,8.4150857833875
9,1,1.0,0.0,5567,8.4150857833875
10,1,1.0,0.0,5567,8.4150857833875
11,1,1.0,0.0,5567,8.4150857833875
12,1,1.0,0.0,5567,8.4150857833875
13,1,1.0,0.0,5567,8.4150857833875
14,1,1.0,0.0,5567,8.4150857833875
15,1,1.0,0.0,5567,8.4150857833875
16,1,1.0,0.0,5567,8.4150857833875
17,1,1.0,0.0,5567,8.4150857833875
18,1,1.0,0.0,5567,8.4150857833875
19,1,1.0,0.0,5567,8.4150857833875
20,1,1.0,0.0,5567,8.4150857833875
21,1,1.0,0.0,5567,8.4150857833875
22,1,1.0,0.0,5567,8.4150857833875
23,1,1.0,0.0,5567,8.4150857833875
24,1,1.0,0.0,5567,8.4150857833875
25,1,1.0,0.0,5567,8.4150857833875
26,2,1.0,1.0,5567,8.4150857833875
27,1,1.0,0.0,5567,8.4150857833875
28,1,1.0,0.0,5567,8.4150857833875
29,2,1.0,1.0,5567,8.4150857833875
30,1,1.0,0.0,5567,8.4150857833875
31,1,1.0,0.0,5567,8.4150857833875
32,1,1.0,0.0,5567,8.4150857833875
33,1,1.0,0.0,5567,8.4150857833875
34,1,1.0,0.0,5567,8.4150857833875
35,1,1.0,0.0,5567,8.4150857833875
36,1,1.0,0.0,5567,8.4150857833875
37,1,1.0,0.0,5567,8.4150857833875
38,1,1.0,0.0,5567,8.4150857833875
39,1,1.0,0.0,5567,8.4150857833875
40,1,1.0,0.0,5567,8.4150857833875
41,1,1.0,0.0,5567,8.4150857833875
42,1,1.0,0.0,5567,8.4150857833875
43,1,1.0,0.0,5567,8.4150857833875
44,1,1.0,0.0,5567,8.4150857833875
45,1,1.0,0.0,5567,8.4150857833875
46,1,1.0,0.0,5567,8.4150857833875
47,2,1.0,1.0,5567,8.4150857833875
